Date,Open,High,Low,Close,Adj_Close,Volume,Daily_Range,Price_Change,Pct_change,Prev_Close,Returns,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,Signal_Line,MACD_Histogram,Avg_Gain,Avg_Loss,RSI,Upper_BB,Lower_BB,ATR,Prev_Volume,Volume_Pct_Change,OBV,Lag_Close_1,Lag_Close_2,Lag_Close_3,Day_of_Week,Month,Quarter
2018-12-26,233.919998,254.5,231.229996,253.669998,253.669998,14402700,23.270004,19.75,0.084431,233.880005,0.084616,252.26,261.28,269.28,258.78,267.56,-8.78000000000003,-6.82,-1.9600000000000293,3.62,5.17,41.18,297.47999999999996,241.07999999999998,15.66,9547600,0.508515,-93069200,233.880005,246.389999,260.579987,4,12,4
2018-12-27,250.110001,255.589996,240.100006,255.570007,255.570007,12235200,15.489990000000006,5.460005999999993,0.02183,253.669998,0.00749,250.02,259.35,268.73,257.7,264.56,-6.860000000000014,-6.65,-0.2100000000000133,3.22,5.17,38.38,297.57,239.89000000000001,15.62,14402700,-0.150493,-80834000,253.669998,233.880005,246.389999,5,12,4
2018-12-28,257.940002,261.910004,249.800003,256.079987,256.079987,10992800,12.110001000000011,-1.8600149999999758,-0.007211,255.570007,0.001995,249.12,257.35,267.4,258.74,263.44,-4.699999999999989,-6.24,1.5400000000000116,3.26,3.9,45.53,295.97999999999996,238.82,14.99,12235200,-0.101543,-69841200,255.570007,253.669998,233.880005,6,12,4
2018-12-31,260.160004,270.100006,260.0,267.660004,267.660004,13508900,10.100006000000008,7.5,0.028828,256.079987,0.04522,253.37,257.43,266.34,260.26,263.1,-2.840000000000032,-5.82,2.9799999999999685,3.76,3.9,49.09,293.09999999999997,239.57999999999998,15.24,10992800,0.228886,-56332300,256.079987,255.570007,253.669998,2,12,4
2019-01-02,259.279999,269.75,256.579987,267.660004,267.660004,11679500,13.170012999999983,8.38000500000004,0.03232,267.660004,0.0,260.13,257.92,265.42,260.17,262.99,-2.819999999999993,-5.6,2.7800000000000065,3.76,3.59,51.16,290.54,240.3,15.34,13508900,-0.135422,-56332300,267.660004,256.079987,255.570007,4,1,1
2019-01-03,270.200012,275.790009,264.429993,271.200012,271.200012,14969600,11.360015999999973,1.0,0.003701,267.660004,0.013226,263.63,257.95,264.47,261.32,263.95,-2.6299999999999955,-5.55,2.9200000000000044,3.33,3.59,48.12,286.91,242.03000000000003,14.98,11679500,0.281699,-41362700,267.660004,267.660004,256.079987,5,1,1
2019-01-04,281.880005,297.799988,278.540009,297.570007,297.570007,19330100,19.259978999999987,15.690001999999993,0.055662,271.200012,0.097234,272.03,261.03,265.58,267.99,267.14,0.8500000000000227,-4.8,5.650000000000023,5.13,3.59,58.83,292.12,239.04,16.35,14969600,0.29129,-22032600,271.200012,267.660004,267.660004,6,1,1
2019-01-07,302.100006,316.799988,301.649994,315.339996,315.339996,18620100,15.149993999999992,13.239989999999977,0.043827,297.570007,0.059717,283.89,266.5,267.2,274.72,272.88,1.8400000000000318,-4.02,5.860000000000031,6.4,2.94,68.52,301.14,233.26,16.81,19330100,-0.03673,-3412500,297.570007,271.200012,267.660004,2,1,1
2019-01-08,319.980011,320.589996,308.01001,320.269989,320.269989,15359200,12.579985999999963,0.28997800000001916,9.06E-4,315.339996,0.015634,294.41,273.89,269.96,280.89,277.21,3.680000000000007,-2.47,6.1500000000000075,6.75,2.65,71.81,311.34,228.57999999999998,16.86,18620100,-0.175128,11946700,315.339996,297.570007,271.200012,3,1,1
2019-01-09,317.709991,323.350006,313.5,319.959991,319.959991,13343200,9.850006000000008,2.25,0.007082,320.269989,-9.68E-4,304.87,282.5,272.47,284.99,280.03,4.960000000000036,-0.95,5.910000000000037,6.17,2.67,69.8,319.49,225.45000000000002,16.64,15359200,-0.131257,-1396500,320.269989,315.339996,297.570007,4,1,1
2019-01-10,314.570007,325.369995,312.5,324.660004,324.660004,13472500,12.869995000000017,10.08999700000004,0.032076,319.959991,0.014689,315.56,289.6,275.44,289.41,283.9,5.510000000000048,0.43,5.080000000000048,6.51,2.37,73.31,327.76,223.12,16.34,13343200,0.00969,12076000,319.959991,320.269989,315.339996,5,1,1
2019-01-11,330.959991,341.089996,328.519989,337.589996,337.589996,19500400,12.570006999999976,6.630004999999983,0.020033,324.660004,0.039826,323.56,297.8,278.57,299.49,285.85,13.639999999999986,2.47,11.169999999999986,7.43,1.93,79.38,337.81,219.32999999999998,16.23,13472500,0.447423,31576400,324.660004,319.959991,320.269989,6,1,1
2019-01-14,334.23999,335.480011,329.130005,332.940002,332.940002,10499600,6.350006000000008,-1.2999879999999848,-0.003889,337.589996,-0.013774,327.08,305.49,281.42,304.89,290.36,14.529999999999973,4.4,10.129999999999972,7.43,1.25,85.6,345.42,217.42000000000002,15.17,19500400,-0.46157,21076800,337.589996,324.660004,319.959991,2,1,1
2019-01-15,349.600006,357.220001,347.0,354.640015,354.640015,21181200,10.220001000000025,5.040008999999998,0.014417,332.940002,0.065177,333.96,314.18,285.81,312.61,292.72,19.889999999999986,6.92,12.969999999999986,8.98,0.35,96.25,357.21000000000004,214.41,15.69,10499600,1.017334,42258000,332.940002,337.589996,324.660004,3,1,1
2019-01-16,354.0,358.850006,348.109985,351.390015,351.390015,15385500,10.740021000000013,-2.6099849999999947,-0.007373,354.640015,-0.009164,340.24,322.56,290.24,320.14,297.68,22.45999999999998,9.71,12.749999999999979,7.57,0.59,92.77,366.46000000000004,214.02,14.8,21181200,-0.273625,26872500,354.640015,332.940002,337.589996,4,1,1
2019-01-17,349.5,355.790009,346.410004,353.190002,353.190002,18871200,9.380004999999983,3.6900019999999927,0.010558,351.390015,0.005122,345.95,330.76,294.35,325.22,301.2,24.02000000000004,12.28,11.74000000000004,7.56,0.59,92.76,374.93,213.77000000000004,14.36,15385500,0.226557,45743700,351.390015,354.640015,332.940002,5,1,1
2019-01-18,351.970001,353.0,336.730011,339.100006,339.100006,26621000,16.26998900000001,-12.869995000000017,-0.036566,353.190002,-0.039894,346.25,334.91,297.97,327.83,305.3,22.529999999999973,14.58,7.949999999999973,7.52,1.59,82.55,379.83000000000004,216.11,14.67,18871200,0.410668,19122700,353.190002,351.390015,354.640015,6,1,1
2019-01-22,334.890015,336.880005,321.029999,325.160004,325.160004,17941400,15.850006000000008,-9.73001099999999,-0.029054,339.100006,-0.041109,344.7,335.89,301.2,330.97,306.93,24.04000000000002,16.84,7.200000000000021,6.7,2.59,72.12,381.94,220.45999999999998,14.96,26621000,-0.326043,1181300,339.100006,353.190002,351.390015,3,1,1
2019-01-23,328.25,331.75,318.600006,321.98999,321.98999,13480100,13.149993999999992,-6.2600100000000225,-0.019071,325.160004,-0.009749,338.17,336.06,304.98,331.99,306.8,25.189999999999998,19.09,6.099999999999998,6.7,2.82,70.38,381.90000000000003,228.06,14.96,17941400,-0.24866,-12298800,325.160004,339.100006,353.190002,4,1,1
2019-01-24,320.600006,331.799988,319.0,326.670013,326.670013,11131600,12.799987999999985,6.0700069999999755,0.018933,321.98999,0.014535,333.22,336.73,309.62,331.83,307.73,24.099999999999966,21.16,2.9399999999999658,6.78,2.82,70.63,379.34000000000003,239.9,15.06,13480100,-0.17422,-1167200,321.98999,325.160004,339.100006,5,1,1
2019-01-25,328.720001,340.0,328.51001,338.049988,338.049988,11152900,11.489989999999977,9.32998699999996,0.028383,326.670013,0.034836,330.19,338.07,313.83,332.75,311.07,21.680000000000007,22.05,-0.3699999999999939,5.71,2.82,66.94,379.39,248.26999999999998,14.12,11131600,0.001913,9985700,326.670013,321.98999,325.160004,6,1,1
2019-01-28,334.700012,336.299988,328.880005,335.660004,335.660004,8652100,7.419983000000002,0.9599919999999997,0.002868,338.049988,-0.00707,329.51,337.88,317.84,333.83,312.33,21.5,22.82,-1.3200000000000003,4.44,2.99,59.76,377.96,257.71999999999997,13.4,11152900,-0.224229,1333600,338.049988,326.670013,321.98999,2,1,1
2019-01-29,335.869995,338.220001,328.149994,328.899994,328.899994,7655200,10.070007000000032,-6.970001000000025,-0.020752,335.660004,-0.020139,330.25,337.48,321.48,334.81,312.72,22.089999999999975,23.07,-0.9800000000000253,4.09,3.47,54.1,374.22,268.74,13.22,8652100,-0.115221,-6321600,335.660004,338.049988,326.670013,3,1,1
2019-01-30,332.75,341.779999,330.799988,340.660004,340.660004,9234500,10.98001099999999,7.910004000000015,0.023772,328.899994,0.035756,333.99,336.08,325.13,335.09,312.87,22.21999999999997,23.04,-0.8200000000000287,4.93,3.45,58.83,371.97,278.28999999999996,13.43,7655200,0.206304,2912900,328.899994,335.660004,338.049988,4,1,1
2019-01-31,339.679993,345.98999,338.089996,339.5,339.5,8535500,7.899993999999992,-0.1799930000000245,-5.3E-4,340.660004,-0.003405,336.55,334.89,328.72,338.69,313.15,25.54000000000002,23.21,2.3300000000000196,4.59,3.53,56.53,367.3,290.14000000000004,13.08,9234500,-0.075694,-5622600,340.660004,328.899994,335.660004,5,1,1
2019-02-01,337.179993,346.839996,336.5,339.850006,339.850006,9827800,10.339995999999985,2.670012999999983,0.007919,339.5,0.001031,336.91,333.55,332.15,338.43,317.81,20.620000000000005,23.0,-2.3799999999999955,3.69,3.53,51.11,359.84999999999997,304.45,12.64,8535500,0.151403,4205200,339.5,340.660004,328.899994,6,2,1
2019-02-04,342.600006,352.0,341.299988,351.339996,351.339996,9051400,10.700012000000015,8.739989999999977,0.025511,339.850006,0.033809,340.05,334.78,334.84,340.66,320.55,20.110000000000014,22.56,-2.449999999999985,4.51,3.2,58.5,358.55999999999995,311.12,12.91,9827800,-0.079,13256600,339.850006,339.5,340.660004,2,2,1
2019-02-05,353.200012,360.0,352.899994,355.809998,355.809998,9046600,7.100006000000008,2.609985999999992,0.00739,351.339996,0.012723,345.43,337.84,336.87,341.09,323.23,17.859999999999957,21.75,-3.890000000000043,3.28,3.2,50.62,360.49,313.25,11.79,9051400,-5.3E-4,22303200,351.339996,339.850006,339.5,3,2,1
2019-02-06,357.0,357.040009,347.190002,352.190002,352.190002,6717700,9.850007000000005,-4.809998000000007,-0.013473,355.809998,-0.010174,347.74,340.86,338.46,340.92,326.94,13.980000000000018,20.62,-6.639999999999983,3.28,3.22,50.46,361.67999999999995,315.24,11.73,9046600,-0.257434,15585500,355.809998,351.339996,339.850006,4,2,1
2019-02-07,347.899994,348.75,339.019989,344.709991,344.709991,7864500,9.73001099999999,-3.19000299999999,-0.009169,352.190002,-0.021239,348.78,342.67,339.7,341.08,328.26,12.819999999999993,19.64,-6.820000000000007,3.15,3.76,45.59,361.34,318.06,12.0,6717700,0.170713,7721000,352.190002,355.809998,351.339996,5,2,1
2019-02-08,338.0,348.0,338.0,347.570007,347.570007,7561400,10.0,9.570006999999976,0.028314,344.709991,0.008297,350.32,343.62,340.85,342.71,330.17,12.539999999999964,18.64,-6.100000000000037,3.36,2.75,54.99,361.55,320.15000000000003,11.54,7864500,-0.03854,15282400,344.709991,352.190002,355.809998,6,2,1
2019-02-11,350.0,352.869995,344.809998,345.730011,345.730011,5454900,8.05999700000001,-4.26998900000001,-0.0122,347.570007,-0.005294,349.2,344.63,341.25,344.7,334.88,9.819999999999993,17.28,-7.460000000000008,3.36,1.89,64.0,362.01,320.49,10.82,7561400,-0.278586,9827500,347.570007,344.709991,352.190002,2,2,1
2019-02-12,348.089996,360.0,346.519989,359.970001,359.970001,10429400,13.48001099999999,11.88000500000004,0.034129,345.730011,0.041188,350.03,347.73,342.6,346.73,339.14,7.590000000000032,15.65,-8.059999999999969,4.37,1.66,72.47,364.56,320.64000000000004,10.9,5454900,0.911932,20256900,345.730011,347.570007,344.709991,3,2,1
2019-02-13,357.299988,359.600006,350.279999,351.769989,351.769989,10559100,9.320007000000032,-5.529998999999975,-0.015477,359.970001,-0.02278,349.95,348.84,342.46,346.6,340.75,5.850000000000023,13.47,-7.619999999999978,4.04,2.25,64.23,364.12,320.79999999999995,10.68,10429400,0.012436,9697800,359.970001,345.730011,347.570007,4,2,1
